table,row_locator,ownership,action,confidence,policy_basis
decision_rules,"{""rule_id"": ""RULE-001""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:47:02 | Approved reusable reference-content policy.
decision_rules,"{""rule_id"": ""RULE-002""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:47:02 | Approved reusable reference-content policy.
decision_rules,"{""rule_id"": ""RULE-003""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:47:02 | Approved reusable reference-content policy.
decision_rules,"{""rule_id"": ""RULE-004""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:47:02 | Approved reusable reference-content policy.
decision_rules,"{""rule_id"": ""RULE-005""}",BOTH_GLOBAL,COPY_TO_BOTH,HIGH,created_at=2026-04-12 22:47:02 | Approved reusable reference-content policy.
discussion_messages,"{""message_id"": ""MSG-001""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-12 22:44:16 | Conflicting parent ownership."
discussion_messages,"{""message_id"": ""MSG-002""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-12 22:44:16 | Conflicting parent ownership."
discussion_messages,"{""message_id"": ""MSG-010""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-13 02:11:23 | Conflicting parent ownership."
discussion_messages,"{""message_id"": ""MSG-011""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-13 02:11:23 | Conflicting parent ownership."
discussion_messages,"{""message_id"": ""MSG-012""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-13 02:11:23 | Conflicting parent ownership."
discussion_threads,"{""thread_id"": ""THREAD-001""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.workspace_id=WS-001 -> ['FIRM-001'] | ID workspace_notes.workspace_id=WS-001 -> ['FIRM-001'] | ID workspaces.workspace_id=WS-001 -> ['FIRM-001'] | ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-12 22:44:16 | updated_at=2026-04-12 22:44:16 | Conflicting parent ownership."
discussion_threads,"{""thread_id"": ""THREAD-002""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.workspace_id=WS-002 -> ['FIRM-001'] | ID workspace_notes.workspace_id=WS-002 -> ['FIRM-001'] | ID workspaces.workspace_id=WS-002 -> ['FIRM-001'] | ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-12 22:44:16 | updated_at=2026-04-12 22:44:16 | Conflicting parent ownership."
discussion_threads,"{""thread_id"": ""THREAD-010""}",UNRESOLVED_CONFLICT,QUARANTINE_CONFLICT_REVIEW,LOW,"ID execution_tasks.workspace_id=WS-010 -> ['FIRM-001'] | ID generated_documents.workspace_id=WS-010 -> ['FIRM-001'] | ID workspace_notes.workspace_id=WS-010 -> ['FIRM-001'] | ID workspaces.workspace_id=WS-010 -> ['FIRM-001'] | ID execution_tasks.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID generated_documents.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspace_notes.owner_id=ADMIN_OWNER_001 -> ['FIRM-001'] | ID workspaces.owner_id=ADMIN_OWNER_001 -> ['FIRM-001', 'FIRM-002'] | created_at=2026-04-13 02:11:23 | updated_at=2026-04-13 02:11:23 | Conflicting parent ownership."
