table,row_locator,ownership,action,confidence,validation_status,evidence
app_users,"{""user_id"": ""USR-001""}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
app_users,"{""user_id"": ""USR-002""}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
app_users,"{""user_id"": ""USR-003""}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
app_users,"{""user_id"": ""USR-004""}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
app_users,"{""user_id"": ""USR-005""}",FIRM-002,COPY_TO_FIRM2,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-002
app_users,"{""user_id"": ""USR-006""}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
app_users,"{""user_id"": ""USR-007""}",FIRM-002,COPY_TO_FIRM2,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-002
archive_packet_finalization,"{""id"": 1}",FIRM-002,COPY_TO_FIRM2,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-002
asset_intake,"{""id"": 1}",FIRM-002,COPY_TO_FIRM2,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-002
audit_log,"{""id"": 100}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 101}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 102}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 103}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 104}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 105}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 106}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 107}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 108}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 109}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 10}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 110}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 111}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 112}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 113}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 114}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Parent audit_log.entity_id=trustee -> ['FIRM-001']
audit_log,"{""id"": 115}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Parent audit_log.entity_id=trustee -> ['FIRM-001']
audit_log,"{""id"": 116}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Parent audit_log.entity_id=admin -> ['FIRM-001']
audit_log,"{""id"": 117}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 118}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 119}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 11}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 120}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 121}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 122}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 123}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 124}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 125}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 126}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 127}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 128}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 129}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 12}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 130}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 131}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 132}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 133}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 134}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 135}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 136}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 137}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 138}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 139}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
audit_log,"{""id"": 13}",FIRM-001,COPY_TO_FIRM1,HIGH,UNCHANGED_EXPLICIT_OR_PARENT_RESOLUTION,Explicit firm_id=FIRM-001
