table_name,identity_class,present_identity_fields,required_fields_for_class,missing_required_fields,optional_future_fields,normalization_priority
accounts,Class I — Institutional Core,"firm_id, trust_id","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
app_users,Class III — Administrative / Workflow,"firm_id, status","firm_id, created_by, created_at, updated_at, status","created_by, created_at, updated_at","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
archive_export_history,Class I — Institutional Core,"firm_id, trust_id, transfer_id, created_at","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, updated_at, capacity, status, record_version","institution_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
archive_packet_finalization,Class IV — Reference / Registry,"firm_id, trust_id","created_at, updated_at, status","created_at, updated_at, status","institution_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
asset_intake,Class IV — Reference / Registry,"firm_id, created_at","created_at, updated_at, status","updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
audit_log,Class III — Administrative / Workflow,"firm_id, created_at","firm_id, created_by, created_at, updated_at, status","created_by, updated_at, status","institution_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, updated_by, capacity",Medium
beneficiaries,Class I — Institutional Core,"firm_id, trust_id","firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
certificate_event_bus,Class II — Governance / Execution,created_at,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
certificate_governance_policies,Class IV — Reference / Registry,"created_at, updated_at","created_at, updated_at, status",status,"institution_id, firm_id, trust_id, matter_id, transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, record_version, created_by, updated_by, capacity",Medium
certificate_lifecycle_events,Class II — Governance / Execution,created_at,"institution_id, firm_id, trust_id, matter_id, created_by, created_at, updated_at, capacity, status, record_version","institution_id, firm_id, trust_id, matter_id, created_by, updated_at, capacity, status, record_version","transfer_id, minute_id, certificate_id, archive_id, handoff_id, governance_id, execution_session_id, chain_id, updated_by",High
