table,row_locator,ownership,action,confidence,candidate_owners,workspace_id,thread_id,evidence,row_snapshot,workspace_snapshot
discussion_messages,"{""message_id"": ""MSG-001""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,,THREAD-001,Exact thread_id=THREAD-001 inherits ['FIRM-001'],"{""author"": ""admin"", ""body"": ""Use this thread to compare control, flexibility, and reporting implications before final structure selection."", ""created_at"": ""2026-04-12 22:44:16"", ""message_id"": ""MSG-001"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-001""}",{}
discussion_messages,"{""message_id"": ""MSG-002""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,,THREAD-002,Exact thread_id=THREAD-002 inherits ['FIRM-001'],"{""author"": ""admin"", ""body"": ""Use this thread to organize which filing guides and reports need to be reviewed first."", ""created_at"": ""2026-04-12 22:44:16"", ""message_id"": ""MSG-002"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-002""}",{}
discussion_messages,"{""message_id"": ""MSG-010""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,,THREAD-010,Exact thread_id=THREAD-010 inherits ['FIRM-001'],"{""author"": ""admin"", ""body"": ""Use this thread to separate property-holding questions from reporting questions before moving into execution tasks."", ""created_at"": ""2026-04-13 02:11:23"", ""message_id"": ""MSG-010"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-010""}",{}
discussion_messages,"{""message_id"": ""MSG-011""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,,THREAD-011,Exact thread_id=THREAD-011 inherits ['FIRM-001'],"{""author"": ""admin"", ""body"": ""Use this thread to outline role and authority questions tied to insurance-oriented planning."", ""created_at"": ""2026-04-13 02:11:23"", ""message_id"": ""MSG-011"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-011""}",{}
discussion_messages,"{""message_id"": ""MSG-012""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,,THREAD-012,Exact thread_id=THREAD-012 inherits ['FIRM-001'],"{""author"": ""admin"", ""body"": ""Use this thread to decide which guides, reports, and generated drafts belong in the filing sequence."", ""created_at"": ""2026-04-13 02:11:23"", ""message_id"": ""MSG-012"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-012""}",{}
discussion_threads,"{""thread_id"": ""THREAD-001""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,WS-001,,"Exact workspace_id=WS-001 has firm_id=FIRM-001 | Workspace evidence: Firm 1 unique marker(s): family trust design sandbox, plan and compare family trust structure, ws-001 | Firm 1 unique marker(s): ws-001","{""category"": ""trust_type_questions"", ""created_at"": ""2026-04-12 22:44:16"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 1041"", ""related_trust_type"": ""revocable"", ""status"": ""open"", ""thread_id"": ""THREAD-001"", ""title"": ""Revocable vs Irrevocable design questions"", ""updated_at"": ""2026-04-12 22:44:16"", ""workspace_id"": ""WS-001""}","{""created_at"": ""2026-04-12 22:40:34"", ""firm_id"": ""FIRM-001"", ""owner"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""purpose"": ""Plan and compare family trust structure options before formal buildout."", ""status"": ""draft"", ""title"": ""Family Trust Design Sandbox"", ""trust_type_focus"": ""revocable"", ""updated_at"": ""2026-04-12 22:40:34"", ""workspace_id"": ""WS-001"", ""workspace_type"": ""trust_design""}"
discussion_threads,"{""thread_id"": ""THREAD-002""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,WS-002,,"Exact workspace_id=WS-002 has firm_id=FIRM-001 | Workspace evidence: Firm 1 unique marker(s): fiduciary filing planning sandbox, organize filing questions, ws-002 | Firm 1 unique marker(s): ws-002","{""category"": ""tax_forms_questions"", ""created_at"": ""2026-04-12 22:44:16"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 1041"", ""related_trust_type"": ""other"", ""status"": ""open"", ""thread_id"": ""THREAD-002"", ""title"": ""Which filings matter first for fiduciary planning?"", ""updated_at"": ""2026-04-12 22:44:16"", ""workspace_id"": ""WS-002""}","{""created_at"": ""2026-04-12 22:40:34"", ""firm_id"": ""FIRM-001"", ""owner"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""purpose"": ""Organize filing questions, tax form links, and reporting workflow notes."", ""status"": ""draft"", ""title"": ""Fiduciary Filing Planning Sandbox"", ""trust_type_focus"": ""other"", ""updated_at"": ""2026-04-12 22:40:34"", ""workspace_id"": ""WS-002"", ""workspace_type"": ""filing_planning""}"
discussion_threads,"{""thread_id"": ""THREAD-010""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,WS-010,,"Exact workspace_id=WS-010 has firm_id=FIRM-001 | Workspace evidence: Firm 1 unique marker(s): land holding structure sandbox, explore real-property holding structure, ws-010 | Firm 1 unique marker(s): ws-010","{""category"": ""asset_structuring_questions"", ""created_at"": ""2026-04-13 02:11:23"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 1041"", ""related_trust_type"": ""land"", ""status"": ""open"", ""thread_id"": ""THREAD-010"", ""title"": ""How should land-holding questions be organized before formal drafting?"", ""updated_at"": ""2026-04-13 02:11:23"", ""workspace_id"": ""WS-010""}","{""created_at"": ""2026-04-13 02:11:23"", ""firm_id"": ""FIRM-001"", ""owner"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""purpose"": ""Explore real-property holding structure and related recordkeeping questions."", ""status"": ""draft"", ""title"": ""Land Holding Structure Sandbox"", ""trust_type_focus"": ""land"", ""updated_at"": ""2026-04-13 02:11:23"", ""workspace_id"": ""WS-010"", ""workspace_type"": ""trust_design""}"
discussion_threads,"{""thread_id"": ""THREAD-011""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,WS-011,,"Exact workspace_id=WS-011 has firm_id=FIRM-001 | Workspace evidence: Firm 1 unique marker(s): insurance planning sandbox, explore insurance-related trust planning, ws-011 | Firm 1 unique marker(s): ws-011","{""category"": ""fiduciary_process_questions"", ""created_at"": ""2026-04-13 02:11:23"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 56"", ""related_trust_type"": ""insurance"", ""status"": ""open"", ""thread_id"": ""THREAD-011"", ""title"": ""What fiduciary questions arise in insurance planning structure?"", ""updated_at"": ""2026-04-13 02:11:23"", ""workspace_id"": ""WS-011""}","{""created_at"": ""2026-04-13 02:11:23"", ""firm_id"": ""FIRM-001"", ""owner"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""purpose"": ""Explore insurance-related trust planning and documentation questions."", ""status"": ""draft"", ""title"": ""Insurance Planning Sandbox"", ""trust_type_focus"": ""insurance"", ""updated_at"": ""2026-04-13 02:11:23"", ""workspace_id"": ""WS-011"", ""workspace_type"": ""trust_design""}"
discussion_threads,"{""thread_id"": ""THREAD-012""}",FIRM-001,COPY_TO_FIRM1,HIGH,FIRM-001,WS-012,,"Exact workspace_id=WS-012 has firm_id=FIRM-001 | Workspace evidence: Firm 1 unique marker(s): tax workflow sandbox, organize filing guides, ws-012 | Firm 1 unique marker(s): ws-012","{""category"": ""tax_forms_questions"", ""created_at"": ""2026-04-13 02:11:23"", ""created_by"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""related_form"": ""Form 1041"", ""related_trust_type"": ""complex"", ""status"": ""open"", ""thread_id"": ""THREAD-012"", ""title"": ""Which reports should be reviewed first in a filing-focused workspace?"", ""updated_at"": ""2026-04-13 02:11:23"", ""workspace_id"": ""WS-012""}","{""created_at"": ""2026-04-13 02:11:23"", ""firm_id"": ""FIRM-001"", ""owner"": ""admin"", ""owner_id"": ""ADMIN_OWNER_001"", ""purpose"": ""Organize filing guides, reporting flow, and amendment considerations."", ""status"": ""draft"", ""title"": ""Tax Workflow Sandbox"", ""trust_type_focus"": ""complex"", ""updated_at"": ""2026-04-13 02:11:23"", ""workspace_id"": ""WS-012"", ""workspace_type"": ""filing_planning""}"
