runtime,table,expected_rows,actual_rows,difference
FIRM-001,accounts,0,0,0
FIRM-001,app_users,5,5,0
FIRM-001,archive_export_history,0,0,0
FIRM-001,archive_packet_finalization,0,0,0
FIRM-001,asset_intake,0,0,0
FIRM-001,audit_log,291,291,0
FIRM-001,beneficiaries,0,0,0
FIRM-001,chart_of_accounts,0,0,0
FIRM-001,continuity_custody_log,0,0,0
FIRM-001,controlled_docx_exports,0,0,0
FIRM-001,controlled_export_prep,0,0,0
FIRM-001,controlled_pdf_exports,0,0,0
FIRM-001,decision_rules,5,5,0
FIRM-001,discussion_messages,5,5,0
FIRM-001,discussion_threads,5,5,0
FIRM-001,distributions,0,0,0
FIRM-001,document_intake,0,0,0
FIRM-001,document_templates,3,3,0
FIRM-001,documents,0,0,0
FIRM-001,docx_verification_gate,0,0,0
FIRM-001,draft_sessions,0,0,0
FIRM-001,draft_variable_bindings,0,0,0
FIRM-001,dynamic_draft_previews,0,0,0
FIRM-001,execution_event_log,0,0,0
FIRM-001,execution_packet_prep,0,0,0
FIRM-001,execution_tasks,6,6,0
FIRM-001,fiduciaries,0,0,0
FIRM-001,final_record_archive,0,0,0
FIRM-001,genealogy_records,0,0,0
FIRM-001,generated_documents,3,3,0
FIRM-001,guided_draft_workspace,0,0,0
FIRM-001,identity_intake,0,0,0
FIRM-001,instruments,0,0,0
FIRM-001,intake_answers,0,0,0
FIRM-001,intake_deep_review,0,0,0
FIRM-001,intake_document_draft_answers,0,0,0
FIRM-001,intake_document_recommendations,8,8,0
FIRM-001,intake_draft_readiness_ledger,1,1,0
FIRM-001,intake_drafting_prep_gate,0,0,0
FIRM-001,intake_export_logs,7,7,0
FIRM-001,intake_final_draft_admin_approvals,1,1,0
FIRM-001,intake_final_draft_completion_actions,0,0,0
FIRM-001,intake_final_draft_completion_gate,1,1,0
FIRM-001,intake_final_draft_gate_actions,1,1,0
FIRM-001,intake_final_draft_prep_gate,1,1,0
FIRM-001,intake_final_draft_sections,7,7,0
FIRM-001,intake_final_draft_version_register,1,1,0
FIRM-001,intake_followup_tasks,0,0,0
FIRM-001,intake_lane_events,0,0,0
FIRM-001,intake_module_ledger,16,16,0
FIRM-001,intake_orchestration,0,0,0
FIRM-001,intake_review_gate_actions,1,1,0
FIRM-001,intake_review_gate_ledger,1,1,0
FIRM-001,intake_review_notes,0,0,0
FIRM-001,intake_scores,0,0,0
FIRM-001,intake_sessions,0,0,0
FIRM-001,intake_snapshots,0,0,0
FIRM-001,intake_translations,0,0,0
FIRM-001,intake_workflow_bridge_answers,0,0,0
FIRM-001,learning_articles,9,9,0
FIRM-001,ledger_entries,1,1,0
FIRM-001,matter_events,0,0,0
FIRM-001,matter_relationships,0,0,0
FIRM-001,matters,0,0,0
FIRM-001,media_records,1,1,0
FIRM-001,pdf_execution_approval_gate,0,0,0
FIRM-001,permissions,13,15,2
FIRM-001,properties,1,1,0
FIRM-001,role_permissions,23873,23873,0
FIRM-001,section_review_gate,0,0,0
FIRM-001,tax_form_guides,10,10,0
FIRM-001,transfer_actions,88,88,0
FIRM-001,transfer_archive_handoff,0,0,0
FIRM-001,transfer_archive_handoff_corrections,0,0,0
FIRM-001,transfer_records,10,10,0
FIRM-001,transfer_support_docs,0,0,0
FIRM-001,transfers,12,12,0
FIRM-001,trust_article_assignments,0,0,0
FIRM-001,trust_article_conditions,0,0,0
FIRM-001,trust_articles,3,3,0
FIRM-001,trust_minutes,15,15,0
FIRM-001,trust_template_types,0,0,0
FIRM-001,trusts,20,20,0
FIRM-001,tutorial_videos,5,5,0
FIRM-001,user_permission_overrides,1,1,0
FIRM-001,user_roles,0,0,0
FIRM-001,workspace_notes,7,7,0
FIRM-001,workspaces,6,6,0
FIRM-002,accounts,0,0,0
FIRM-002,app_users,2,2,0
FIRM-002,archive_export_history,0,0,0
FIRM-002,archive_packet_finalization,1,1,0
FIRM-002,asset_intake,1,1,0
FIRM-002,audit_log,77,77,0
FIRM-002,beneficiaries,0,0,0
FIRM-002,chart_of_accounts,0,0,0
FIRM-002,continuity_custody_log,3,3,0
FIRM-002,controlled_docx_exports,1,1,0
FIRM-002,controlled_export_prep,1,1,0
FIRM-002,controlled_pdf_exports,1,1,0
FIRM-002,decision_rules,5,5,0
FIRM-002,discussion_messages,0,0,0
FIRM-002,discussion_threads,0,0,0
FIRM-002,distributions,0,0,0
FIRM-002,document_intake,1,1,0
FIRM-002,document_templates,3,3,0
FIRM-002,documents,3,3,0
FIRM-002,docx_verification_gate,1,1,0
FIRM-002,draft_sessions,2,2,0
FIRM-002,draft_variable_bindings,8,8,0
FIRM-002,dynamic_draft_previews,1,1,0
FIRM-002,execution_event_log,1,1,0
FIRM-002,execution_packet_prep,1,1,0
FIRM-002,execution_tasks,1,1,0
FIRM-002,fiduciaries,0,0,0
FIRM-002,final_record_archive,1,1,0
FIRM-002,genealogy_records,0,0,0
FIRM-002,generated_documents,0,0,0
FIRM-002,guided_draft_workspace,1,1,0
FIRM-002,identity_intake,2,2,0
FIRM-002,instruments,0,0,0
FIRM-002,intake_answers,50,50,0
FIRM-002,intake_deep_review,1,1,0
FIRM-002,intake_document_draft_answers,3,3,0
FIRM-002,intake_document_recommendations,7,7,0
FIRM-002,intake_draft_readiness_ledger,0,0,0
FIRM-002,intake_drafting_prep_gate,3,3,0
FIRM-002,intake_export_logs,3,3,0
FIRM-002,intake_final_draft_admin_approvals,0,0,0
FIRM-002,intake_final_draft_completion_actions,0,0,0
FIRM-002,intake_final_draft_completion_gate,0,0,0
FIRM-002,intake_final_draft_gate_actions,5,5,0
FIRM-002,intake_final_draft_prep_gate,0,0,0
FIRM-002,intake_final_draft_sections,0,0,0
FIRM-002,intake_final_draft_version_register,0,0,0
FIRM-002,intake_followup_tasks,28,28,0
FIRM-002,intake_lane_events,5,5,0
FIRM-002,intake_module_ledger,0,0,0
FIRM-002,intake_orchestration,1,1,0
FIRM-002,intake_review_gate_actions,1,1,0
FIRM-002,intake_review_gate_ledger,0,0,0
FIRM-002,intake_review_notes,1,1,0
FIRM-002,intake_scores,4,4,0
FIRM-002,intake_sessions,5,5,0
FIRM-002,intake_snapshots,1,1,0
FIRM-002,intake_translations,97,97,0
FIRM-002,intake_workflow_bridge_answers,3,3,0
FIRM-002,learning_articles,9,9,0
FIRM-002,ledger_entries,0,0,0
FIRM-002,matter_events,15,15,0
FIRM-002,matter_relationships,1,1,0
FIRM-002,matters,1,1,0
FIRM-002,media_records,0,0,0
FIRM-002,pdf_execution_approval_gate,3,3,0
FIRM-002,permissions,13,15,2
FIRM-002,properties,1,1,0
FIRM-002,role_permissions,23873,23873,0
FIRM-002,section_review_gate,1,1,0
FIRM-002,tax_form_guides,10,10,0
FIRM-002,transfer_actions,7,7,0
FIRM-002,transfer_archive_handoff,0,0,0
FIRM-002,transfer_archive_handoff_corrections,0,0,0
FIRM-002,transfer_records,1,1,0
FIRM-002,transfer_support_docs,0,0,0
FIRM-002,transfers,1,1,0
FIRM-002,trust_article_assignments,3,3,0
FIRM-002,trust_article_conditions,0,0,0
FIRM-002,trust_articles,3,3,0
FIRM-002,trust_minutes,0,0,0
FIRM-002,trust_template_types,0,0,0
FIRM-002,trusts,2,2,0
FIRM-002,tutorial_videos,5,5,0
FIRM-002,user_permission_overrides,0,0,0
FIRM-002,user_roles,0,0,0
FIRM-002,workspace_notes,0,0,0
FIRM-002,workspaces,1,1,0
