table,row_locator,current_action,current_ownership,proposed_resolution,confidence,firm1_markers,firm2_markers,parent_owners,parent_evidence,schema_evidence,row_snapshot
decision_rules,"{""rule_id"": ""RULE-001""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,suggested_trust_type,"{""asset_type"": ""general_assets"", ""considerations"": ""Revocable structures are often explored where flexibility and ongoing control are priorities."", ""control_level"": ""high_control"", ""created_at"": ""2026-04-12 22:47:02"", ""goal"": ""estate_planning"", ""rule_id"": ""RULE-001"", ""suggested_forms"": ""Form 1040;Form 1041"", ""suggested_trust_type"": ""revocable""}"
decision_rules,"{""rule_id"": ""RULE-002""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,suggested_trust_type,"{""asset_type"": ""real_estate"", ""considerations"": ""Irrevocable structures are often explored where stronger separation and reduced unilateral control are part of the objective."", ""control_level"": ""reduced_personal_control"", ""created_at"": ""2026-04-12 22:47:02"", ""goal"": ""asset_protection"", ""rule_id"": ""RULE-002"", ""suggested_forms"": ""Form 1041;Form 56"", ""suggested_trust_type"": ""irrevocable""}"
decision_rules,"{""rule_id"": ""RULE-003""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,suggested_trust_type,"{""asset_type"": ""real_estate"", ""considerations"": ""Land trust discussions often arise where title holding and real property management structure are central."", ""control_level"": ""management_focus"", ""created_at"": ""2026-04-12 22:47:02"", ""goal"": ""real_property_holding"", ""rule_id"": ""RULE-003"", ""suggested_forms"": ""Form 1041"", ""suggested_trust_type"": ""land""}"
decision_rules,"{""rule_id"": ""RULE-004""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,suggested_trust_type,"{""asset_type"": ""insurance_policy"", ""considerations"": ""Insurance trust structures are often discussed where policy ownership and insurance-related planning objectives are involved."", ""control_level"": ""reduced_personal_control"", ""created_at"": ""2026-04-12 22:47:02"", ""goal"": ""insurance_planning"", ""rule_id"": ""RULE-004"", ""suggested_forms"": ""Form 1041"", ""suggested_trust_type"": ""insurance""}"
decision_rules,"{""rule_id"": ""RULE-005""}",QUARANTINE_GLOBAL_POLICY_REVIEW,GLOBAL_REVIEW,COPY_TO_BOTH_REFERENCE_CANDIDATE,MEDIUM,,,,,suggested_trust_type,"{""asset_type"": ""mixed_assets"", ""considerations"": ""Complex trust discussions often require careful review of distributions, retained activity, and reporting implications."", ""control_level"": ""structured_control"", ""created_at"": ""2026-04-12 22:47:02"", ""goal"": ""tax_planning"", ""rule_id"": ""RULE-005"", ""suggested_forms"": ""Form 1041;Form 1041-X;Form 8841"", ""suggested_trust_type"": ""complex""}"
discussion_messages,"{""message_id"": ""MSG-001""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | owner_id,"{""author"": ""admin"", ""body"": ""Use this thread to compare control, flexibility, and reporting implications before final structure selection."", ""created_at"": ""2026-04-12 22:44:16"", ""message_id"": ""MSG-001"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-001""}"
discussion_messages,"{""message_id"": ""MSG-002""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | owner_id,"{""author"": ""admin"", ""body"": ""Use this thread to organize which filing guides and reports need to be reviewed first."", ""created_at"": ""2026-04-12 22:44:16"", ""message_id"": ""MSG-002"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-002""}"
discussion_messages,"{""message_id"": ""MSG-010""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | owner_id,"{""author"": ""admin"", ""body"": ""Use this thread to separate property-holding questions from reporting questions before moving into execution tasks."", ""created_at"": ""2026-04-13 02:11:23"", ""message_id"": ""MSG-010"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-010""}"
discussion_messages,"{""message_id"": ""MSG-011""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | owner_id,"{""author"": ""admin"", ""body"": ""Use this thread to outline role and authority questions tied to insurance-oriented planning."", ""created_at"": ""2026-04-13 02:11:23"", ""message_id"": ""MSG-011"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-011""}"
discussion_messages,"{""message_id"": ""MSG-012""}",QUARANTINE_OWNERSHIP_REVIEW,UNRESOLVED_TENANT,QUARANTINE_TENANT_ADJUDICATION_REQUIRED,LOW,,,,,thread_id | owner_id,"{""author"": ""admin"", ""body"": ""Use this thread to decide which guides, reports, and generated drafts belong in the filing sequence."", ""created_at"": ""2026-04-13 02:11:23"", ""message_id"": ""MSG-012"", ""owner_id"": ""ADMIN_OWNER_001"", ""parent_message_id"": """", ""thread_id"": ""THREAD-012""}"
